text,label
"Как же приятно, когда ты в очереди, а кассир уходит пить чай.",1
Получил посылку — всё целое и в срок.,0
"Позвонил другу, обсудили планы на выходные.",0
"Обожаю, когда выходные проходят в пробке.",1
"Неужели это произошло? Ну конечно, опять сбой.",1
Провёл выходной с семьёй — спокойная атмосфера.,0
Сегодня удалось выспаться и начать день спокойно.,0
Получил посылку — всё целое и в срок.,0
Классика жанра: сломалось именно в нужный момент.,1
"Идеально, как всегда вовремя — с опозданием на час.",1
"Работаю над новым проектом, всё идёт по плану.",0
"Неужели это произошло? Ну конечно, опять сбой.",1
Провёл выходной с семьёй — спокойная атмосфера.,0
"Гулял по парку, слушал музыку — отличное утро.",0
"Сегодня хорошая погода, решил пройтись пешком.",0
Читал интересную статью о технологиях будущего.,0
Провёл выходной с семьёй — спокойная атмосфера.,0
"Как же приятно, когда ты в очереди, а кассир уходит пить чай.",1
Получил посылку — всё целое и в срок.,0
"Спасибо, снова лучший сервис года!",1
"Обожаю, когда выходные проходят в пробке.",1
"Неужели это произошло? Ну конечно, опять сбой.",1
"Сегодня хорошая погода, решил пройтись пешком.",0
"Идеально, как всегда вовремя — с опозданием на час.",1
"Посетил выставку, было познавательно.",0
"Позвонил другу, обсудили планы на выходные.",0
"Ну конечно, ничего другого я и не ожидал.",1
"Неужели это произошло? Ну конечно, опять сбой.",1
"Ну конечно, ничего другого я и не ожидал.",1
"Работаю над новым проектом, всё идёт по плану.",0
Классика жанра: сломалось именно в нужный момент.,1
"О да, именно этого я и хотел — работать в ночь.",1
"Позвонил другу, обсудили планы на выходные.",0
"Сегодня хорошая погода, решил пройтись пешком.",0
"Посетил выставку, было познавательно.",0
Сегодня удалось выспаться и начать день спокойно.,0
Провёл выходной с семьёй — спокойная атмосфера.,0
Сегодня удалось выспаться и начать день спокойно.,0
"Гулял по парку, слушал музыку — отличное утро.",0
Провёл выходной с семьёй — спокойная атмосфера.,0
Сегодня удалось выспаться и начать день спокойно.,0
"Гулял по парку, слушал музыку — отличное утро.",0
Сегодня удалось выспаться и начать день спокойно.,0
"Ах да, как я мог забыть, что всё через одно место.",1
"Работаю над новым проектом, всё идёт по плану.",0
"Сегодня хорошая погода, решил пройтись пешком.",0
Читал интересную статью о технологиях будущего.,0
Сделал домашние дела и навёл порядок на балконе.,0
